rank,name,pop2022,pop2010,growth,density,aland_sqmi,latitude,longitiude
8,South Fulton,104786,86142,0.2164,1236,84.79,33.65,-84.62
15,Brookhaven,60129,49688,0.2101,5178,11.613,33.86,-84.33
22,Peachtree Corners,45099,38142,0.1824,2799,16.112,33.96,-84.22
18,Stonecrest,56340,50256,0.1211,1506,37.4,33.7,-84.13
240,Tybee Island,2928,2988,-0.0201,1003,2.919,32.01,-80.85
80,Wilmington Island,15834,15138,0.046,1907,8.302,32,-80.98
320,Talahi Island,1472,1248,0.1795,1144,1.287,32.03,-80.98
142,Whitemarsh Island,6893,6792,0.0149,1192,5.782,32.03,-81.01
349,Dutch Island,1162,1257,-0.0756,472,2.46,32,-81.03
118,Skidaway Island,8986,8341,0.0773,545,16.491,31.94,-81.04
253,Thunderbolt,2518,2527,-0.0036,1858,1.355,32.03,-81.05
257,Isle of Hope,2487,2402,0.0354,1268,1.961,31.98,-81.05
177,Montgomery,4584,4523,0.0135,879,5.215,31.94,-81.11
5,Savannah,140405,137412,0.0218,1351,103.91,32.03,-81.18
124,Garden City,8410,8687,-0.0319,586,14.345,32.09,-81.18
95,Port Wentworth,13010,5428,1.3968,794,16.393,32.19,-81.2
97,Georgetown,12951,11823,0.0954,1575,8.221,31.98,-81.23
105,Rincon,11108,9001,0.2341,1141,9.738,32.29,-81.24
42,Pooler,30644,18616,0.6461,1108,27.649,32.1,-81.25
276,Henderson,2219,1647,0.3473,1272,1.745,32.01,-81.27
81,Richmond Hill,15816,9465,0.671,672,23.546,31.93,-81.31
186,Springfield,4186,2809,0.4902,1360,3.078,32.36,-81.31
248,Bloomingdale,2590,2642,-0.0197,188,13.774,32.12,-81.31
87,St. Simons,14778,12743,0.1597,897,16.483,31.18,-81.39
246,Guyton,2685,1681,0.5973,837,3.207,32.34,-81.42
275,Midway,2220,2089,0.0627,345,6.443,31.8,-81.42
289,Darien,2002,1931,0.0368,95,21.165,31.36,-81.43
392,Riceboro,802,788,0.0178,72,11.119,31.73,-81.44
129,Country Club Estates,8194,8545,-0.0411,1772,4.624,31.21,-81.46
79,Brunswick,16055,15311,0.0486,941,17.058,31.14,-81.47
138,Dock Junction,7454,7721,-0.0346,797,9.358,31.2,-81.52
230,Kings Bay Base,3158,1777,0.7772,1151,2.743,30.8,-81.56
401,Flemington,735,725,0.0138,154,4.766,31.85,-81.56
59,St. Marys,19758,17272,0.1439,866,22.822,30.76,-81.57
112,Fort Stewart,9643,4924,0.9584,963,10.013,31.87,-81.61
400,Allenhurst,737,730,0.0096,673,1.095,31.78,-81.61
33,Hinesville,34881,32962,0.0582,1920,18.167,31.83,-81.62
184,Walthourville,4259,4138,0.0292,1109,3.841,31.77,-81.62
241,Pembroke,2896,2150,0.347,380,7.627,32.15,-81.62
254,Sylvania,2511,2593,-0.0316,503,4.994,32.75,-81.64
284,Brooklet,2145,1389,0.5443,651,3.294,32.39,-81.67
61,Kingsland,19488,15880,0.2272,436,44.706,30.82,-81.72
325,Woodbine,1364,1404,-0.0285,543,2.511,30.96,-81.72
262,Ludowici,2442,1728,0.4132,1049,2.327,31.71,-81.75
370,Sardis,948,999,-0.0511,612,1.548,32.98,-81.76
29,Statesboro,36875,28453,0.296,2477,14.889,32.44,-81.77
110,Jesup,9952,10196,-0.0239,601,16.546,31.6,-81.89
283,Claxton,2147,2381,-0.0983,1235,1.738,32.16,-81.91
170,Glennville,4783,5169,-0.0747,677,7.07,31.94,-81.93
371,Hagan,947,991,-0.0444,463,2.044,32.15,-81.93
403,Portal,731,636,0.1494,365,2.001,32.54,-81.93
245,Millen,2715,3113,-0.1279,759,3.579,32.81,-81.94
334,Nahunta,1252,1051,0.1912,444,2.819,31.21,-81.98
150,Folkston,6162,4818,0.279,1470,4.191,30.84,-82.01
162,Waynesboro,5192,5890,-0.1185,949,5.472,33.09,-82.01
364,Homeland,974,923,0.0553,390,2.499,30.86,-82.02
394,Screven,777,765,0.0157,360,2.157,31.48,-82.02
452,Odum,506,504,0.004,250,2.027,31.67,-82.03
199,Metter,3900,4086,-0.0455,520,7.498,32.4,-82.06
3,Augusta,200477,196375,0.0209,663,302.274,33.36,-82.07
34,Martinez,34844,35795,-0.0266,2403,14.503,33.52,-82.1
198,Hephzibah,3911,4042,-0.0324,201,19.487,33.29,-82.1
434,Collins,568,584,-0.0274,557,1.02,32.18,-82.11
470,Offerman,432,439,-0.0159,132,3.271,31.41,-82.11
251,Reidsville,2567,2623,-0.0213,339,7.57,32.09,-82.12
443,Hoboken,545,532,0.0244,159,3.428,31.18,-82.13
27,Evans,37114,29011,0.2793,1469,25.258,33.56,-82.14
398,Patterson,752,733,0.0259,285,2.637,31.39,-82.14
315,Twin City,1497,1751,-0.1451,419,3.574,32.58,-82.16
409,Blythe,708,725,-0.0234,248,2.852,33.3,-82.2
70,Grovetown,17525,11333,0.5464,3321,5.277,33.45,-82.21
449,Stillmore,515,529,-0.0265,167,3.091,32.44,-82.21
500,Keysville,356,343,0.0379,338,1.054,33.24,-82.23
204,Blackshear,3710,3461,0.0719,732,5.066,31.3,-82.24
205,Harlem,3701,2676,0.383,587,6.306,33.42,-82.31
188,Lyons,4143,4369,-0.0517,517,8.011,32.21,-82.32
459,Oak Park,467,480,-0.0271,66,7.067,32.38,-82.32
133,Swainsboro,7911,7243,0.0922,629,12.579,32.59,-82.33
365,Sunnyside,968,1303,-0.2571,682,1.419,31.24,-82.34
179,Baxley,4515,4700,-0.0394,565,7.997,31.76,-82.35
94,Waycross,13291,14581,-0.0885,1119,11.875,31.21,-82.36
250,Deenwood,2579,2146,0.2018,769,3.355,31.25,-82.37
298,Wrens,1861,2175,-0.1444,594,3.133,33.21,-82.39
451,Dearing,511,547,-0.0658,627,0.815,33.41,-82.39
107,Vidalia,10417,10441,-0.0023,582,17.884,32.21,-82.4
268,Louisville,2317,2490,-0.0695,642,3.607,33,-82.4
304,Wadley,1759,2051,-0.1424,386,4.556,32.87,-82.4
222,Alma,3305,3469,-0.0473,542,6.095,31.54,-82.47
486,Stapleton,384,436,-0.1193,220,1.744,33.22,-82.47
313,Lincolnton,1515,1557,-0.027,431,3.514,33.79,-82.48
148,Thomson,6261,6773,-0.0756,1427,4.388,33.47,-82.5
432,Uvalda,576,594,-0.0303,304,1.893,32.04,-82.51
444,Ailey,533,553,-0.0362,247,2.159,32.19,-82.57
224,Soperton,3289,3126,0.0521,747,4.402,32.38,-82.59
417,Adrian,653,666,-0.0195,475,1.375,32.53,-82.59
191,Hazlehurst,4116,4241,-0.0295,870,4.733,31.87,-82.6
264,Mount Vernon,2374,2295,0.0344,591,4.015,32.18,-82.6
290,Davisboro,2000,1993,0.0035,656,3.051,32.98,-82.6
422,Gibson,622,662,-0.0604,607,1.025,33.23,-82.6
221,Nicholls,3315,3118,0.0632,1795,1.847,31.52,-82.64
307,Warrenton,1723,1921,-0.1031,904,1.907,33.41,-82.67
420,Glenwood,633,668,-0.0524,340,1.862,32.18,-82.67
335,Lumber City,1239,1323,-0.0635,643,1.926,31.93,-82.68
209,Wrightsville,3573,3756,-0.0487,1014,3.523,32.73,-82.72
471,Harrison,427,487,-0.1232,250,1.707,32.83,-82.73
200,Washington,3864,4125,-0.0633,502,7.698,33.74,-82.74
265,Homerville,2362,2443,-0.0332,676,3.493,31.04,-82.74
456,Tignall,481,541,-0.1109,175,2.754,33.87,-82.74
223,Alamo,3290,3137,0.0488,1679,1.959,32.15,-82.78
163,Sandersville,5189,5901,-0.1207,403,12.871,32.98,-82.81
258,Tennille,2453,1537,0.596,1385,1.771,32.94,-82.81
100,Douglas,11986,11690,0.0253,830,14.437,31.51,-82.85
292,Pearson,1964,2109,-0.0688,586,3.352,31.3,-82.85
183,Elberton,4317,4570,-0.0554,953,4.53,34.11,-82.87
259,East Dublin,2449,2461,-0.0049,581,4.218,32.55,-82.87
131,McRae-Helena,7983,8579,-0.0695,1240,6.436,32.06,-82.89
342,Broxton,1211,1190,0.0176,373,3.246,31.62,-82.89
476,Crawfordville,404,530,-0.2377,130,3.115,33.55,-82.9
281,Reed Creek,2155,2604,-0.1724,90,23.843,34.44,-82.91
78,Dublin,16220,16170,0.0031,1019,15.925,32.54,-82.93
173,Hartwell,4683,4370,0.0716,930,5.038,34.35,-82.93
340,Sparta,1215,1391,-0.1265,669,1.817,33.28,-82.97
485,Ambrose,385,375,0.0267,126,3.05,31.59,-83.01
388,Bowman,814,859,-0.0524,261,3.117,34.21,-83.03
330,Willacoochee,1309,1387,-0.0562,343,3.82,31.34,-83.04
423,Cadwell,609,519,0.1734,486,1.253,32.34,-83.04
483,White Plains,387,287,0.3484,77,4.996,33.48,-83.04
418,Milan,645,700,-0.0786,207,3.112,32.02,-83.06
435,Dexter,565,574,-0.0157,736,0.768,32.43,-83.06
215,Lakeland,3360,3370,-0.003,1088,3.087,31.04,-83.07
282,Union Point,2151,1617,0.3302,1122,1.917,33.62,-83.08
437,Dudley,561,574,-0.0226,165,3.408,32.53,-83.08
457,Bowersville,479,471,0.017,147,3.251,34.37,-83.08
458,Toomsboro,471,468,0.0064,253,1.862,32.82,-83.08
270,Gumlog,2287,2146,0.0657,170,13.438,34.5,-83.1
249,Royston,2589,2572,0.0066,760,3.408,34.29,-83.11
273,Lavonia,2263,2162,0.0467,499,4.534,34.43,-83.11
387,Canon,815,743,0.0969,261,3.121,34.35,-83.11
468,Woodville,436,322,0.354,89,4.888,33.67,-83.11
345,Comer,1202,1129,0.0647,371,3.237,34.06,-83.13
312,Chester,1519,1594,-0.0471,1724,0.881,32.39,-83.15
343,Franklin Springs,1207,957,0.2612,554,2.179,34.28,-83.15
381,Crawford,857,829,0.0338,736,1.165,33.88,-83.16
438,Irwinton,558,586,-0.0478,177,3.145,32.81,-83.17
168,Eastman,4806,5534,-0.1316,746,6.444,32.2,-83.18
236,Greensboro,3067,3351,-0.0848,456,6.731,33.57,-83.19
309,Lake Park,1663,736,1.2595,1182,1.407,30.68,-83.19
353,Ray City,1124,1103,0.019,981,1.146,31.08,-83.2
430,McIntyre,587,647,-0.0927,113,5.183,32.85,-83.2
481,Martin,389,373,0.0429,155,2.511,34.49,-83.2
496,Rhine,366,394,-0.0711,117,3.134,31.99,-83.2
338,Moody AFB,1232,886,0.3905,304,4.054,30.98,-83.21
425,Colbert,604,573,0.0541,593,1.019,34.04,-83.21
412,Alapaha,690,670,0.0299,672,1.027,31.38,-83.22
427,Danielsville,600,565,0.0619,415,1.446,34.12,-83.22
489,Arnoldsville,378,356,0.0618,222,1.699,33.91,-83.22
359,Dasher,1051,915,0.1486,231,4.544,30.75,-83.23
428,Carnesville,598,594,0.0067,190,3.143,34.37,-83.23
63,Milledgeville,18938,18338,0.0327,931,20.341,33.09,-83.24
218,Hardwick,3329,3930,-0.1529,685,4.862,33.05,-83.24
123,Fitzgerald,8470,9136,-0.0729,947,8.944,31.71,-83.25
166,Nashville,4947,4965,-0.0036,1063,4.652,31.21,-83.25
194,Ocilla,4047,3514,0.1517,1590,2.545,31.6,-83.25
463,Crooked Creek,452,639,-0.2926,140,3.231,33.26,-83.27
17,Valdosta,56544,54977,0.0285,1572,35.965,30.85,-83.28
333,Winterville,1261,1135,0.111,481,2.62,33.97,-83.28
493,Ila,374,337,0.1098,486,0.77,34.17,-83.29
380,Ivey,887,982,-0.0967,342,2.591,32.91,-83.3
490,Empire,376,393,-0.0433,163,2.3,32.34,-83.3
267,Abbeville,2336,2982,-0.2166,765,3.055,31.99,-83.31
361,Remerton,1037,1129,-0.0815,5083,0.204,30.84,-83.31
125,Toccoa,8396,8560,-0.0192,883,9.51,34.58,-83.33
302,Gordon,1776,2012,-0.1173,330,5.382,32.89,-83.33
322,Enigma,1377,1337,0.0299,423,3.253,31.41,-83.33
368,Jeffersonville,957,1027,-0.0682,262,3.655,32.69,-83.34
158,Cochran,5353,5083,0.0531,1137,4.71,32.39,-83.35
6,Athens,130081,116102,0.1204,1118,116.329,33.95,-83.37
231,Hahira,3140,2762,0.1369,1167,2.691,30.99,-83.38
480,Dillard,392,369,0.0623,223,1.761,34.97,-83.38
140,Eatonton,6986,6479,0.0783,341,20.509,33.33,-83.39
348,Mountain City,1165,1082,0.0767,642,1.816,34.92,-83.39
271,Clayton,2283,2021,0.1296,674,3.387,34.88,-83.4
239,Watkinsville,2933,2849,0.0295,898,3.265,33.86,-83.41
154,Adel,5495,5333,0.0304,630,8.726,31.13,-83.43
293,Nicholson,1935,1719,0.1257,487,3.975,34.12,-83.43
466,Tiger,439,402,0.092,530,0.828,34.85,-83.43
288,Sparks,2034,2043,-0.0044,513,3.965,31.17,-83.44
358,Rochelle,1070,1173,-0.0878,561,1.907,31.95,-83.46
135,Commerce,7526,6566,0.1462,607,12.404,34.21,-83.47
382,Lenox,856,875,-0.0217,537,1.594,31.27,-83.47
156,Hawkinsville,5429,5636,-0.0367,1011,5.37,32.3,-83.48
181,Madison,4390,3986,0.1014,504,8.717,33.58,-83.48
326,Homer,1361,1157,0.1763,141,9.633,34.33,-83.5
332,Mount Airy,1283,1237,0.0372,530,2.419,34.52,-83.5
395,North High Shoals,769,599,0.2838,318,2.419,33.83,-83.5
439,Morven,555,566,-0.0194,322,1.725,30.94,-83.5
469,Pineview,435,519,-0.1618,223,1.949,32.11,-83.5
294,Unionville,1904,1845,0.032,2535,0.751,31.44,-83.51
472,Bostwick,425,367,0.158,136,3.125,33.74,-83.51
71,Tifton,17297,16430,0.0528,1371,12.614,31.46,-83.52
354,Phillipsburg,1115,707,0.5771,3632,0.307,31.44,-83.52
161,Cornelia,5241,4197,0.2487,1261,4.157,34.52,-83.53
301,Clarkesville,1800,1717,0.0483,732,2.458,34.61,-83.53
347,Bogart,1179,1143,0.0315,471,2.505,33.95,-83.53
219,Gray,3328,3286,0.0128,846,3.934,33,-83.54
286,Arcade,2098,1806,0.1617,228,9.186,34.07,-83.54
287,Demorest,2077,1870,0.1107,926,2.243,34.56,-83.54
211,Baldwin,3531,3281,0.0762,722,4.888,34.49,-83.55
269,Maysville,2307,1839,0.2545,502,4.597,34.26,-83.55
210,Quitman,3547,3920,-0.0952,859,4.127,30.78,-83.56
344,Alto,1204,1184,0.0169,1062,1.134,34.47,-83.57
328,Robins AFB,1339,1170,0.1444,486,2.755,32.61,-83.58
339,Omega,1215,1222,-0.0057,681,1.783,31.34,-83.59
96,Jefferson,12995,9535,0.3629,578,22.467,34.14,-83.6
234,Statham,3115,2499,0.2465,768,4.057,33.96,-83.6
256,Raoul,2492,2558,-0.0258,1244,2.004,34.45,-83.6
377,Rutledge,902,782,0.1535,276,3.272,33.63,-83.61
440,Berlin,554,554,0,663,0.836,31.07,-83.62
413,Sycamore,682,724,-0.058,690,0.989,31.67,-83.64
4,Macon,153927,155814,-0.0121,617,249.398,32.83,-83.65
11,Warner Robins,81373,70047,0.1617,2187,37.215,32.6,-83.65
201,Ashburn,3803,4136,-0.0805,801,4.746,31.71,-83.65
402,Ty Ty,734,734,0,931,0.788,31.47,-83.65
237,Lula,3060,2776,0.1023,722,4.238,34.4,-83.67
367,Norman Park,962,967,-0.0052,312,3.079,31.27,-83.68
419,Pendergrass,640,452,0.4159,211,3.037,34.16,-83.68
130,Centerville,8118,7232,0.1225,2049,3.962,32.63,-83.69
243,Monticello,2803,2685,0.0439,674,4.161,33.31,-83.69
314,Russell,1497,1203,0.2444,1255,1.193,33.98,-83.69
385,Newborn,837,696,0.2026,525,1.595,33.52,-83.7
174,Social Circle,4628,4210,0.0993,318,14.576,33.65,-83.71
396,Bethlehem,767,616,0.2451,308,2.492,33.94,-83.71
57,Winder,20619,14448,0.4271,1510,13.655,33.99,-83.72
90,Monroe,14183,12907,0.0989,905,15.678,33.8,-83.72
429,Helen,593,513,0.1559,274,2.167,34.7,-83.72
60,Perry,19577,13818,0.4168,732,26.757,32.47,-83.73
441,Arabi,552,586,-0.058,88,6.295,31.83,-83.73
220,Unadilla,3324,3781,-0.1209,550,6.043,32.26,-83.74
426,Pavo,604,625,-0.0336,343,1.76,30.96,-83.74
455,Yonah,496,507,-0.0217,159,3.127,34.64,-83.74
460,Mansfield,466,402,0.1592,426,1.093,33.52,-83.74
474,Sumner,418,447,-0.0649,236,1.772,31.51,-83.74
495,Barwick,372,385,-0.0338,518,0.718,30.89,-83.74
157,Byron,5412,4577,0.1824,617,8.767,32.65,-83.75
372,Hiawassee,944,865,0.0913,584,1.616,34.95,-83.75
171,Cleveland,4777,3471,0.3763,1233,3.874,34.6,-83.76
238,Hoschton,2972,1384,1.1474,615,4.831,34.09,-83.76
491,Pinehurst,376,448,-0.1607,370,1.017,32.2,-83.76
88,Moultrie,14655,14318,0.0235,880,16.661,31.16,-83.77
109,Cordele,10044,11180,-0.1016,991,10.138,31.96,-83.77
351,Clermont,1138,928,0.2263,385,2.953,34.48,-83.77
